position,orientation,success
"[-0.0009385012201496762, 0.01987284740412862, 0.18622089365127148]","(0.6499088498327938, -0.7591240262706399, -0.0009039391736764268, 0.03672032872454047)",True
"[-0.003764573823679206, -0.014711383327758622, 0.1976462356455437]","(-0.2916699364464317, 0.9466516097522236, -0.0909012452220589, 0.10254921522828725)",True
"[0.006696665345065649, -0.015307885899644694, 0.20943452580511396]","(0.7574672279797198, -0.6456623347886459, -0.04382173290037979, 0.08627400360248513)",True
"[-0.02058704774625173, -0.017339302787362572, 0.21277449755402494]","(-0.9250794486266509, 0.37684823755595703, -0.005845833141024821, 0.046682392981379786)",True
"[0.021176345326495382, 0.003847163255106969, 0.19104917751608397]","(0.9912096790831052, 0.12026431313445404, 0.04284343128711786, -0.03470313348693063)",True
"[0.032469526627734314, 0.03889269741947904, 0.2292607949104175]","(0.9128813027621071, 0.4015944664519353, -0.05449805508310453, -0.04898544247735696)",False
"[-0.00915510927258702, 0.003785382588321, 0.1894302295353775]","(0.42346520396588366, 0.9015570644007815, 0.028280899525484893, 0.08409679768699348)",True
"[-0.011432387306358625, -0.00495538170298178, 0.17866512666719248]","(-0.8182849417473229, -0.568760930369219, 0.07435716578722772, -0.03730643498394889)",False
"[0.001206101930556366, -0.01561122321388144, 0.20349373981539876]","(-0.27643139140381867, -0.9607184505117706, 0.013209050669711, 0.020766937020571533)",True
"[-0.011449414458917036, -0.02017733275024697, 0.16835035008359445]","(0.9971320412754222, 0.042022451461885595, -0.036941630514723475, 0.050961963953097864)",False
"[-0.005168895787596057, -0.024164841622582794, 0.19653031938337182]","(0.6478661650608591, 0.7593632542192759, -0.03953667193151317, 0.04553824638067571)",False
"[0.04774279218172733, 0.02140511563976792, 0.1685752455782021]","(-0.13958738604408513, -0.989178184040589, -0.029515865311689184, -0.03421542883619178)",True
"[-0.0013351094608653033, -0.0017108863303913907, 0.1858901149623547]","(-0.9466835906540368, -0.31569724891696976, -0.03174049479322121, -0.055838760757367156)",True
"[-0.0022968924633720903, 0.028552283701259853, 0.23564075587128291]","(0.8180540383671757, 0.5610213972258484, 0.0531295534938888, 0.11497753133309235)",False
"[0.013509944967522556, 0.010864497627219761, 0.18567505851404634]","(0.9218041712215176, -0.37994557869940787, 0.043840320661626964, 0.06321750888534698)",True
"[0.02753521279614843, -0.012304444793830105, 0.18738931867069417]","(0.7323244763931094, 0.6800313652738079, 0.03546295687840719, 0.000763026106652149)",True
"[0.008997828832011267, 0.036401243743462326, 0.18437649063068368]","(0.9104041734826499, -0.40785008857888255, -0.03385001273896947, -0.060635985925375946)",False
"[0.01430538804875476, 0.01393811506534057, 0.19547411857171423]","(0.9722426731578374, 0.23030206959553584, -0.0005342326661902393, -0.041289899810654916)",True
"[0.005448568694100395, -0.003765325577628159, 0.19453008417038256]","(0.5354853629359012, -0.8425219198802608, -0.0349759091253634, 0.04678596353117268)",True
"[0.008864320251649922, -0.0014555783705295696, 0.18836781147833126]","(-0.3197040674906794, -0.9446987489059316, -0.07297603627855356, -0.0028427406765487344)",True
"[-0.0374134192739147, 0.002026832353284633, 0.17743477416374917]","(0.45297240441340403, -0.8859440921989236, 0.0529011890178534, -0.08438323612105703)",True
"[-0.022232601819895087, -0.004229726935062341, 0.19827419018757209]","(0.6273465657288084, 0.7782077072552445, -0.02275601942744416, 0.017641270266720636)",True
"[-0.007539811597205657, 0.013218649847320182, 0.17779090303910283]","(-0.9615582509112827, -0.2730124480701739, 0.0026639227045916498, -0.029374084138731785)",True
"[0.009500957328508305, -0.013993659567394276, 0.20669270055991892]","(-0.4127210597977436, 0.9053396430669862, 0.09332747757581156, 0.036213801514143475)",False
"[-0.0007955325019492728, 0.013902093877236189, 0.1930214955020393]","(0.9278302506873839, 0.36564258716064635, 0.0426345036330959, 0.06015665768487306)",True
"[0.011585789631461198, -0.039421630195286876, 0.17167068458546278]","(0.9549157249225559, -0.2957792953513207, 0.01813735078592297, -0.01793329985179027)",False
"[0.026347926698150698, 0.0025308111408863204, 0.22418715751436102]","(0.9353536532018734, 0.3432573616694787, 0.04995687018787345, -0.0692259938364943)",False
"[0.03643099265639435, -0.0017967662627218612, 0.22156448553704358]","(-0.39818793263382396, -0.914785539612909, -0.027226578351296115, 0.0622294162852333)",True
"[-0.024070022382232607, 0.0197081883670522, 0.17814356550811616]","(0.3462076499812713, 0.9358112924971613, 0.00533194340076663, -0.06609885255289247)",False
"[0.040311841047833384, -0.028077006853475386, 0.20134458693273502]","(-0.6659399221761844, -0.7450106852832669, 0.011676103925312138, -0.036698330518701715)",False
"[-0.004162338562046191, -0.019312878191720607, 0.22588214349136898]","(0.8973865636741067, 0.4347771241745848, 0.06908481388302501, -0.029891405493953017)",True
