position,orientation,success
"[np.float64(-0.010202913504367188), np.float64(0.03029591777387459), 0.1578171495455141]","(-0.9699766616962882, -0.23863089274212204, -0.04629926562511979, -0.007546575130286346)",True
"[np.float64(-0.007337739497967334), np.float64(0.005397164322218313), 0.24077804930260893]","(0.2096903233679428, -0.9765965664487765, -0.017532280660059855, 0.04451666902594147)",False
"[np.float64(0.027009723321289848), np.float64(0.012628843974219267), 0.210683574409645]","(0.4661891402078888, 0.8842363800558795, -0.0043602923962497465, -0.02783338980654141)",False
"[np.float64(0.043911281783289464), np.float64(0.010527527687582115), 0.19696179035802885]","(-0.5833337163998373, 0.811707079624991, 0.02918765838441481, 0.0012135880097869265)",False
"[np.float64(0.015894083967968493), np.float64(0.02411366269799654), 0.20778801390749052]","(0.5053094149738377, -0.8549732804042528, -0.10100606528683408, 0.05899881108005995)",False
"[np.float64(-0.01388181946095272), np.float64(-0.04742924522385311), 0.17542488900287123]","(-0.4830741046669366, 0.871191284163546, 0.006451479036076152, 0.08731285252445137)",False
"[np.float64(-0.0019197649229472996), np.float64(-0.011505996720084587), 0.22150842778638116]","(0.7209667719559051, -0.691677149530136, 0.038480002948549245, 0.01757623186088056)",False
"[np.float64(0.014818129985574078), np.float64(0.01279202833710143), 0.17543473744544436]","(-0.6739456563572779, -0.7350972600909714, -0.05321509659018281, 0.05096492891000726)",False
"[np.float64(-0.004434992551351114), np.float64(-0.0039431038746016904), 0.1493470434372199]","(0.2972842936782251, -0.9543698306319894, 0.003933055559467413, 0.02801439247374455)",False
"[np.float64(-0.006664291129635706), np.float64(-0.005351001432970218), 0.23360737237956328]","(0.07985019260756268, -0.9962570950971663, 0.0052640139677140535, 0.03268084096283943)",False
"[np.float64(0.024505228242252906), np.float64(-0.05753228948327061), 0.2207981218893388]","(0.8957309826324661, 0.4264384982480819, -0.1255330224303966, -0.0075943560416301065)",False
"[np.float64(0.0034613842396438825), np.float64(0.03232924290815623), 0.20207899003603766]","(0.44412573098443836, 0.8930021353167517, 0.01831409298491052, 0.07045647873262151)",False
"[np.float64(0.008148321340099093), np.float64(-0.020304062721517604), 0.19105769263486722]","(0.9456262914440893, -0.3221119561698574, -0.04394153885091007, -0.0101953805981081)",True
"[np.float64(-0.029089215724358432), np.float64(0.010196267690802398), 0.19231271264500704]","(0.595834284150332, -0.8031068060629252, -0.0006429089029739487, 0.0007419936731746083)",False
"[np.float64(-0.011297760075886374), np.float64(0.033379793067864996), 0.21383991135957137]","(0.8463101590209245, -0.531436836234529, -0.034060552218383035, 0.013186455687207855)",True
"[np.float64(-0.0033631312846649315), np.float64(0.012410569221149135), 0.18396116122000758]","(-0.583988500842801, -0.8077387497766454, -0.07567634170385135, 0.028082633405036198)",False
"[np.float64(-0.03188761239155691), np.float64(0.04988775055555006), 0.2077004342383653]","(0.2633585820864442, -0.9633763047036358, 0.02132973592624027, 0.0457536352905646)",False
"[np.float64(-0.015014951108888171), np.float64(0.0012405269945339023), 0.19540618265384405]","(0.7352628928251829, -0.6725534634329577, -0.005516495530139429, -0.08384441266860171)",True
"[np.float64(-0.002713699174776058), np.float64(0.019417849678265854), 0.17265446405495963]","(0.09814629922843902, -0.9876184079179778, -0.11490716828235836, 0.04211326354784858)",False
"[np.float64(-0.03667273604439476), np.float64(0.030639044465852108), 0.23065654001445585]","(0.955567474853105, 0.28223144664394684, -0.046971782088316594, 0.07092152857611958)",False
"[np.float64(-0.04669760594830215), np.float64(-0.0430924004962286), 0.22405271973113494]","(0.6771274497367392, -0.733842224623208, -0.025522433205990687, -0.048193480641334996)",False
"[np.float64(0.023915473024972426), np.float64(-0.03757942593529255), 0.19708725933543741]","(0.96424684673637, 0.25265735854441296, -0.02331597163097564, -0.07647642250544255)",False
"[np.float64(0.004348351615703987), np.float64(-0.02365683603020712), 0.20191607653808025]","(0.8462089688952565, 0.5326183921185768, -0.0010799875627896128, -0.015711873380121453)",True
"[np.float64(-0.014606774233611985), np.float64(-0.003915503647989633), 0.2059664554786624]","(0.5965441336720393, 0.7993612413052223, -0.06383594727315767, -0.03288881749453669)",False
"[np.float64(-0.02656737420699752), np.float64(0.018335787928000565), 0.19462956636412154]","(0.9526243671628233, 0.30288093867412197, 0.018030967887020806, -0.021091142040449262)",False
"[np.float64(-0.035281244119584616), np.float64(0.029067690562473093), 0.19896809292826162]","(0.48082212297660515, 0.875852892866371, -0.03578918214325675, 0.020271422135522)",False
"[np.float64(-0.03207391415615804), np.float64(-0.00231938129302616), 0.16571275550634793]","(-0.21684077260917242, -0.9711235936005719, -0.018404584683379334, -0.09777687123855422)",False
"[np.float64(-0.027083909342697558), np.float64(0.02744931208934786), 0.19652557399821619]","(0.7355252767582431, -0.6754292510918468, -0.04934780181713157, -0.019044381718348973)",True
"[np.float64(-0.014539620290478113), np.float64(0.00586644395829702), 0.19162257399624733]","(-0.8590047203350679, 0.5004794036251007, 0.057095918183087485, -0.09149488027187933)",False
"[np.float64(0.017648331952824836), np.float64(-0.018630480540107408), 0.22631706619344782]","(0.844110736541263, -0.5310983649907127, -0.025050964897398113, 0.06916675731641325)",False
"[np.float64(0.025400518319226077), np.float64(0.004828574193077228), 0.21624928403462967]","(-0.8549485624058987, 0.5128162102090141, -0.06360425481503186, -0.04513301404045698)",False
"[np.float64(0.023589988335886207), np.float64(-0.018126060199367425), 0.1872999835611797]","(-0.554699000987866, -0.8221128156223415, -0.03386316953816861, 0.12366415180398478)",True
"[np.float64(0.009871859764493283), np.float64(0.014239468121510588), 0.20672611587732218]","(0.6654767475305827, 0.7425964680879669, 0.07231433141557218, 0.021490033767145023)",False
"[np.float64(0.018803101107484912), np.float64(0.03808495021334964), 0.20412874009824436]","(0.7637804978700617, -0.6441077591422759, 0.038491260214342335, -0.01682166975030476)",True
"[np.float64(0.015396305171237972), np.float64(-0.004454878113812118), 0.23784765010119732]","(-0.0595282806368823, -0.9975775131717154, -0.00651726426051236, -0.035397941820270035)",False
"[np.float64(-0.03240012582405896), np.float64(0.03177497707007998), 0.16795415763368793]","(-0.768562772669158, 0.6371278079138187, 0.05459538367916232, -0.019969099402664385)",False
"[np.float64(0.04407341947594817), np.float64(0.03734429490982183), 0.1948819793549652]","(0.7250828895153485, 0.6886064509948211, -0.00034107135370634034, 0.008708768611104086)",False
